"Geneid" "Length"
"Ppp1r42" 1523
"Gm15818" 656
"Gm24674" 104
"Cops5" 3766
"Cspp1" 17553
"1700047N06Rik" 920
"Arfgef1" 11318
"Gm26348" 240
"Gm37569" 1722
"Cpa6" 6840
"Gm38005" 2745
"Gm15604" 1456
"Gm25253" 107
"Gm15603" 492
"Gm37133" 1922
"Gm5522" 1242
"Gm28659" 759
"Gm22963" 91
"Prex2" 16609
"Gm24173" 128
"Gm28686" 609
"Gm37410" 3039
"A830018L16Rik" 9183
"Gm38178" 2471
"Gm29273" 262
"Gm38069" 2144
"Gm7560" 873
"Gm22633" 107
"Mir6341" 121
"Gm2383" 807
"Gm6216" 687
"Gm17644" 3200
"Gm29663" 853
"Sulf1" 11294
"Slco5a1" 13137
"Gm37162" 551
"Gm5250" 321
"Gm29283" 288
"Prdm14" 2564
"Ncoa2" 15642
"Gm38376" 2253
"Gm37409" 1626
"Gm27881" 82
"Gm38223" 695
"Gm37702" 1872
"Gm23169" 112
"Gm38120" 4642
"Gm38380" 2248
"Gm29570" 681
"Gm7593" 644
"Tram1" 3162
"Lactb2" 4566
"Gm38319" 1266
"Xkr9" 1926
"Gm26273" 131
"Gm5523" 997
"Gm36947" 2249
"Gm25491" 308
"Gm37400" 3605
"Eya1" 7808
"Gm22616" 100
"Gm37444" 439
"Gm9947" 3566
"Msc" 2546
"Gm37412" 4321
"Smt3h2-ps4" 288
"Rpl5-ps1" 894
"Trpa1" 4263
"Gm26345" 120
"Gm10566" 996
"Kcnb2" 15165
"Gm38116" 1533
"Gm37138" 2089
"Gm25227" 112
"Gm25168" 132
"Gm6060" 251
"Gm28669" 100
"Terf1" 4608
"Gm37509" 3169
"Sbspon" 2748
"Gm23259" 303
"Gm7634" 553
"4930444P10Rik" 2063
"Rpl7" 2687
"Rdh10" 4160
"Gm38249" 2321
"Gm28095" 1515
"Stau2" 6747
"Gm7568" 1003
"Ube2w" 4930
"Gm38342" 2980
"Eloc" 3026
"D030040B21Rik" 2788
"Gm7654" 683
"Tmem70" 1820
"Ly96" 1021
"Gm29649" 419
"Gm5828" 1860
"Gm28376" 176
"4921511E07Rik" 827
"Jph1" 4998
"Gm28783" 359
"Gdap1" 7731
"Gm28784" 1011
"Gm28785" 379
"Gm5251" 472
"Rbm6-ps1" 2870
"Gm6075" 486
"Gm25166" 111
"Pi15" 6923
"Gm28154" 4218
"Gm16070" 8345
"Crispld1" 4515
"Gm28153" 629
"Gm7690" 1399
"Gm18775" 586
"Gm17969" 2557
"Gm28756" 2570
"Gm28755" 199
"Gm45784" 142
"Crisp4" 2737
"Defb44-ps" 219
"Defb18" 258
"Defb41" 610
"Gm17837" 985
"Gm5252" 909
"Gm24075" 72
"Gm28343" 112
"Gm28344" 279
"Gm15825" 918
"Tfap2d" 1954
"Gm10075" 545
"Tfap2b" 6338
"Gm28340" 202
"Gm28341" 472
"Gm4849" 2246
"Gm24633" 65
"Gm38382" 2499
"Pkhd1" 14310
"Gm37315" 3479
"4930486I03Rik" 788
"Gm15795" 553
"Gm24162" 102
"Gm28653" 5551
"Mir206" 73
"Mir133b" 119
"Il17a" 1171
"Il17f" 2022
"Mcm3" 3752
"Gm20587" 1186
"Gm28065" 833
"Gm24723" 132
"6720483E21Rik" 1120
"Paqr8" 5488
"Gm24171" 131
"Gm28064" 858
"Efhc1" 2208
"Tram2" 6661
"Gm28287" 546
"Gm2693" 571
"Tmem14a" 1351
"Gm38224" 2100
"Gsta3" 4344
"Gm28836" 633
"Gm7094" 366
"Gm4956" 1365
"Gm21909" 439
"Khdc1a" 1987
"Gm16329" 371
"Gm16327" 228
"Khdc1c" 1946
"Gm2709" 350
"Gm16533" 228
"Khdc1b" 2236
"Gm16328" 196
"Kcnq5" 7689
"Gm36949" 2327
"Gm7658" 1124
"Gm38243" 1567
"Gm26580" 2095
"Gm5696" 552
"Gm28239" 447
"Rims1" 7362
"Gm26866" 802
"Gm7761" 921
"Gm29506" 2078
"4933415F23Rik" 1781
"Gm24176" 121
"Gm6420" 723
"Mir30a" 71
"Gm27028" 399
"Mir30c-2" 84
"Gm29107" 347
"Gm20954" 644
"Ogfrl1" 8109
"Gm7784" 989
"Gm28822" 778
"B3gat2" 6203
"Smap1" 3575
"Sdhaf4" 874
"Gm26524" 390
"Fam135a" 7773
"Gm37580" 2800
"Gm26607" 867
"Col9a1" 5068
"Col19a1" 6887
"Gm26418" 137
"Tubb4b-ps2" 1337
"Gm28439" 876
"Gm10222" 294
"Gm28438" 345
"Gm28437" 783
"Gm10925" 678
"Gm28661" 681
"Gm29216" 492
"Lmbrd1" 5960
"Gm28594" 661
"Gm28237" 1216
"Gm9443" 816
"Gm29414" 448
"Adgrb3" 18559
"Gm15702" 444
"Gm20172" 1551
"Gm22260" 107
"Gm37543" 1031
"Gm37331" 3375
"Gm37211" 3433
"Gm37862" 2533
"Gm38286" 3105
"Gm37880" 3257
"Gm25294" 104
"Gm37011" 2935
"Gm29214" 570
"Gm37051" 2943
"Gm38260" 3995
"Gm37628" 5440
"8030445P17Rik" 2741
"Gm38198" 3581
"Gm37077" 3691
"Gm37895" 4550
"Gm36952" 3625
"Gm37602" 3310
"2900022M07Rik" 1017
"2900002M20Rik" 330
"Gm9884" 1222
"Gm18443" 556
"Gm19123" 651
"Gm24064" 106
"4931408C20Rik" 4318
"n-R5s209" 119
"Gm19641" 417
"Gm5524" 2002
"Gm18776" 654
"Gm19028" 1873
"Gm38089" 1514
"Gm7846" 274
"Gm597" 2887
"Gm5697" 2482
"Gm6462" 304
"Gm18033" 550
"Gm25586" 112
"Gm22679" 100
"Gm23785" 96
"Mir6342" 125
"Gm5525" 1312
"Gm7858" 622
"Gm23771" 110
"Gm27430" 107
"Gm9898" 1161
"Gm6473" 1210
"Gm2914" 328
"Phf3" 14190
"Gm37522" 2884
"Gm37906" 3035
"Ptp4a1" 5763
"Gm5698" 724
"Gm9458" 727
"Gm5699" 723
"Gm29669" 881
"Gm28644" 585
"Gm27362" 138
"4931428L18Rik" 1516
"Gm29128" 2858
"Gm7893" 225
"Lgsn" 1937
"Pih1d3" 1451
"Gm26145" 127
"Gm4850" 559
"Gm28645" 564
"Gm6489" 696
"Gm10307" 1337
"Gm19680" 1513
"Gm23032" 107
"Gm7910" 835
"Khdrbs2" 10291
"Gm25814" 107
"Gm37999" 1809
"Gm37110" 1628
"Gm37911" 1545
"Gm9839" 1437
"Gm37792" 3413
"Gm5415" 3609
"Gm24732" 63
"Gm37426" 2470
"Gm23024" 292
"Gm37151" 5007
"Gm28624" 2131
"Gm37724" 1221
"Gm7114" 1789
"Gm4785" 751
"Gm24901" 110
"Gm37591" 650
"Gm2987" 1693
"Gm25792" 100
"Gm18799" 913
"Gm7933" 2255
"Gm23453" 106
"Prim2" 5938
"Gm29228" 418
"Gm37618" 3075
"Gm17813" 328
"1700001G17Rik" 889
"Gm38173" 2314
"Rab23" 8285
"Bag2" 3059
"Gm37905" 341
"Zfp451" 15839
"Gm15455" 2557
"Bend6" 3421
"Gm37067" 1628
"Dst" 41155
"Gm37354" 2384
"Gm28631" 334
"Gm23792" 93
"Gm38157" 1698
"Mir6896" 73
"Gm26788" 4782
"A930005N03Rik" 1247
"Gm37958" 430
"Gm37385" 387
"Gm5266" 1162
"Gm3052" 2937
"Gm37233" 6263
"Mir5103" 79
"Ccdc115" 2543
"Gm28306" 529
"Imp4" 8553
"Ptpn18" 6492
"Gm28417" 2409
"4930568A12Rik" 1298
"Prss39" 1333
"Gm28416" 292
"Cfc1" 1040
"Gm28419" 475
"Prss40" 2105
"1700101I19Rik" 510
"Amer3" 4392
"Gm28418" 423
"Gm36984" 235
"Gm29730" 1396
"AA619741" 646
"Arhgef4" 9861
"Gm37224" 148
"Gm37845" 355
"Gm38336" 2549
"Fam168b" 5219
"Gm37127" 3036
"Plekhb2" 7987
"Gm19430" 2137
"Gm37670" 229
"Gm8009" 436
"Gm38027" 235
"Gm25096" 129
"Gm37068" 640
"Gm25634" 105
"Gm28415" 452
"1110002O04Rik" 566
"Gm8022" 904
"Gm37146" 463
"Gm33222" 761
"4930535G08Rik" 425
"Gm38049" 1372
"Hs6st1" 5542
"Gm37335" 447
"Gm33280" 4340
"Uggt1" 12853
"Mir6897" 62
"Neurl3" 3217
"Arid5a" 12540
"4930403P22Rik" 713
"Kansl3" 6742
"Mir6898" 77
"Fer1l5" 6356
"Lman2l" 7359
"Cnnm4" 4829
"Gm37909" 2159
"AC084391.1" 141
"Cnnm3" 6420
"Gm38033" 269
"Ankrd23" 2697
"Gm42417" 2327
"Ankrd39" 4654
"Sema4c" 4593
"D430040D24Rik" 2830
"Fam178b" 3190
"Gm6428" 345
"Gm24133" 75
"Cox5b" 1552
"Actr1b" 4274
"4933424G06Rik" 1744
"Gm33533" 1633
"Zap70" 2992
"Gm18828" 1012
"Tmem131" 9413
"Gm37506" 143
"Gm38115" 2413
"F830112A20Rik" 3552
"Rpl12-ps1" 498
"n-R5s210" 119
"Vwa3b" 5386
"Gm37020" 992
"Cnga3" 3957
"1700074A21Rik" 346
"Inpp4a" 10387
"4930439A04Rik" 861
"Gm37135" 534
"Coa5" 5220
"Unc50" 1579
"Mgat4a" 12881
"4930594C11Rik" 2755
"Gm43213" 1790
"2010300C02Rik" 5075
"4930556I23Rik" 560
"4930470B04Rik" 1926
"Gm19863" 2218
"Tsga10" 10662
"Gm26805" 3089
"Lipt1" 2051
"Mitd1" 2770
"Mrpl30" 3226
"Lyg2" 2564
"Gm15457" 3990
"Lyg1" 888
"Gm23409" 237
"Txndc9" 9102
"Eif5b" 9753
"Rev1" 6168
"Gm37062" 701
"Gm5099" 1848
"Aff3" 6654
"Gm16150" 912
"Gm16151" 639
"Gm16152" 1853
"Gm34727" 529
"Gm38135" 502
"2610300A13Rik" 503
"Lonrf2" 7506
"Chst10" 11964
"Gm37707" 325
"Gm6621" 772
"Nms" 1001
"Pdcl3" 4219
"Gm37309" 1639
"Gm37821" 1843
"Gm37091" 2087
"Mir6349" 97
"Npas2" 4791
"Gm20428" 283
"Gm3617" 555
"Rpl31" 1662
"Tbc1d8" 5239
"Gm37265" 885
"Gm24826" 216
"Cnot11" 3508
"Gm15832" 1832
"Snord89" 110
"Rnf149" 2838
"Gm23722" 130
"Gm5100" 589
"Creg2" 6091
"D930019O06Rik" 3663
"Rfx8" 2139
"Gm3646" 352
"1700066B17Rik" 1068
"Map4k4" 9579
"4930456G14Rik" 1330
"Il1r2" 1908
"Gm16894" 842
"Gm37347" 3071
"Il1r1" 6363
"Gm38070" 6480
"Il1rl2" 6812
"Gm17970" 685
"Il1rl1" 6894
"Il18r1" 4817
"Il18rap" 6752
"Gm35801" 479
"Slc9a4" 4562
"Gm37435" 3947
"Slc9a2" 6984
"Gm37623" 803
"Gm37915" 3261
"Mfsd9" 5125
"Tmem182" 2716
"Gm5973" 496
"4930448I06Rik" 546
"Gm28634" 2613
"Gm29260" 3198
"Gm5267" 1045
"Gm8176" 1099
"Gm9915" 1383
"Gm29664" 463
"Gm28175" 1734
"Gm28140" 1271
"Gm37047" 533
"Pantr1" 4458
"4930420N18Rik" 676
"Gm20646" 1712
"Pou3f3" 7409
"Pantr2" 1257
"Dalir" 2170
"Mrps9" 5763
"Gm23126" 134
"Gpr45" 7238
"Gm24001" 85
"Tgfbrap1" 10972
"Gm28782" 414
"8430432A02Rik" 1248
"AI597479" 3458
"Fhl2" 1897
"Gm8210" 483
"Gm29040" 1188
"Gm29610" 453
"Gm29041" 380
"Nck2" 4455
"Gm37536" 2491
"Gm38228" 1293
"1500015O10Rik" 902
"Gm29155" 458
"Gm29157" 612
"Gm29156" 499
"Uxs1" 5097
"Gm16103" 1279
"Gm19587" 545
"Gm8241" 816
"Gm26352" 125
"Gm24180" 110
"Tpp2" 10078
"Mettl21c" 4300
"Gm15838" 180
"Gm8251" 5985
"Tex30" 1926
"Gm29247" 676
"Kdelc1" 3199
"Bivm" 4206
"Ercc5" 5864
"Mettl21e" 3961
"Gm15833" 957
"Gm5700" 989
"Gm28893" 1108
"Txn-ps1" 309
"Gulp1" 3758
"Gm37626" 4563
"Gm16102" 420
"4930521E06Rik" 905
"Gm38110" 1551
"Gm3489" 528
"Gm19480" 667
"Gm3496" 745
"Gm5268" 940
"Col3a1" 9816
"AC125167.1" 141
"Col5a2" 9591
"Gm38211" 7217
"Gm8296" 524
"Gm7063" 981
"Gm8304" 584
"Gm23216" 107
"Gm23974" 131
"Gm8307" 1150
"Gm23984" 203
"Wdr75" 4900
"Gm28906" 1779
"Gm5526" 423
"Gm5269" 749
"Gm18303" 1176
"Slc40a1" 9000
"Gm9496" 1601
"Rpl23a-ps1" 465
"Gm3852" 264
"Stk-ps2" 4667
"Gm18849" 560
"Dnah7b" 19980
"n-R5s211" 119
"Gm8326" 1953
"Dnah7c" 12603
"Slc39a10" 6095
"Gm28151" 951
"Gm37393" 3870
"Gm28527" 297
"Gm28825" 238
"Gm28826" 488
"Gm4852" 729
"Gm38090" 1942
"Mir6350" 105
"Gm18117" 742
"Gm37196" 906
"Gm8337" 1938
"Gm22419" 121
"Gm23829" 270
"Gm19206" 827
"Gm5974" 986
"Gm23240" 121
"Gm28830" 213
"Gm8354" 1373
"Gm19124" 832
"Gm8357" 1011
"Gm22693" 442
"Gm28740" 215
"Gm8367" 887
"C230029F24Rik" 582
"Gm6757" 1706
"Gm3605" 440
"Gm28388" 437
"Gm8384" 704
"4933411E06Rik" 1493
"Gm8391" 726
"Gm27330" 132
"Gm29665" 528
"Gm20118" 162
"Gm25843" 314
"Gm28321" 2327
"Tmeff2" 6707
"Gm28322" 1475
"Gm25736" 101
"Gm28319" 226
"Gm28320" 2273
"Gm29325" 2528
"9330175M20Rik" 2552
"Cavin2" 3055
"Gm5253" 1025
"1700072G22Rik" 548
"Nabp1" 8498
"Gm17767" 3979
"Gm37535" 2365
"Gm28055" 1420
"Myo1b" 10792
"Gm29453" 1279
"Gm28323" 2499
"Gm8419" 412
"Gm27607" 122
"Gm8420" 598
"Stat4" 3872
"Gm28177" 3532
"Gm3940" 432
"Gm31812" 1170
"Stat1" 7105
"Gm18301" 888
"Gls" 15057
"Gm5975" 1399
"Gm23460" 109
"Nab1" 4100
"Gm5976" 996
"Rps27a-ps1" 463
"Gm553" 701
"Gm28178" 2943
"Gm5527" 642
"Nemp2" 7078
"Gm37242" 2085
"Mfsd6" 8231
"Gm29670" 2491
"Gm28650" 411
"Inpp1" 6460
"Hibch" 6059
"Gm16107" 862
"1700019D03Rik" 4330
"Mstn" 2705
"Gm24349" 101
"1700019A02Rik" 777
"Pms1" 7542
"Gm28777" 535
"Ormdl1" 4711
"Gm28778" 785
"Osgepl1" 6147
"Gm28551" 3142
"Gm18800" 1319
"Asnsd1" 3528
"Gm28779" 323
"Gm6799" 573
"Gm6801" 339
"Dnah7a" 12767
"Gm25240" 125
"Stk17b" 5185
"Gm37863" 1457
"Hecw2" 12947
"Mir7681" 72
"Gm24251" 114
"Gm37633" 2700
"Gm25829" 107
"Ccdc150" 5021
"Gtf3c3" 4925
"Gm34066" 825
"Pgap1" 16611
"Gm36955" 1661
"Gm19637" 579
"Ankrd44" 14175
"4930444A19Rik" 2666
"Gm37370" 1410
"Gm24053" 105
"A130048G24Rik" 2750
"Sf3b1" 11370
"E330011M16Rik" 1794
"Coq10b" 4805
"Gm17971" 806
"Hspd1" 2642
"Hspe1" 1474
"Gm5147" 794
"Gm16581" 991
"Mob4" 4855
"Gm6822" 307
"Rftn2" 5871
"Gm10561" 1943
"Mars2" 11294
"Boll" 3514
"Gm8292" 396
"Gm29138" 348
"Gm8531" 893
"Plcl1" 6687
"Gm38056" 5027
"Gm6644" 951
"Gm37382" 1596
"9130227L01Rik" 2345
"Gm36986" 353
"1700003I22Rik" 482
"Gm28900" 156
"Gm28240" 2053
"Hsfy2" 1392
"Satb2" 6788
"9130024F11Rik" 5779
"Gm4081" 1838
"Gm23943" 121
"1700126A01Rik" 2061
"BC055402" 3301
"Gm5254" 977
"4930558J18Rik" 2052
"1700066M21Rik" 3235
"Tyw5" 2808
"Maip1" 7878
"Gm22371" 130
"Gm24014" 157
"Gm8581" 890
"Gm37373" 2812
"Gm17929" 627
"Spats2l" 8041
"Gm17234" 392
"Kctd18" 12973
"Sgo2a" 7007
"Aox1" 8690
"Aox3" 7033
"Gm24548" 108
"Aox4" 8416
"Gm15759" 3723
"Aox2" 5771
"Gm37607" 2623
"Bzw1" 4033
"Clk1" 8132
"Ppil3" 4291
"Nif3l1" 7763
"Orc2" 3857
"Gm23966" 107
"Gm15834" 4616
"Fam126b" 12041
"Ndufb3" 763
"Gm29389" 352
"Gm18802" 888
"Cbx3-ps7" 552
"Als2cr12" 3396
"Gm20257" 936
"Gm28803" 764
"Cflar" 12669
"Gm3841" 451
"Casp8" 2893
"Gm37760" 3841
"Gm28802" 944
"Trak2" 7088
"Stradb" 7256
"C2cd6b" 878
"Gm29018" 1193
"C2cd6" 2204
"Gm25502" 131
"Tmem237" 2389
"G730003C15Rik" 2309
"Mpp4" 7063
"Gm29017" 2092
"Gm19125" 1383
"Als2" 9496
"Cdk15" 2507
"Gm29016" 1013
"Gm37737" 1638
"Fzd7" 4532
"Gm26813" 3587
"Gm973" 5484
"Gm28411" 694
"1700122D07Rik" 421
"Sumo1" 2076
"Gm24545" 85
"D430013B06Rik" 1872
"Gm29596" 385
"Nop58" 10758
"Snord70" 87
"Gm26293" 84
"Gm26287" 81
"Snord11" 84
"Bmpr2" 17983
"Gm38125" 3438
"Gm37977" 721
"Fam117b" 7290
"Gm37531" 5415
"Gm18829" 1622
"Ica1l" 5356
"Wdr12" 11955
"Carf" 14557
"Gm15464" 431
"Nbeal1" 28441
"Gm29332" 227
"Cyp20a1" 2286
"6030460B20Rik" 1058
"Abi2" 8543
"Raph1" 20498
"Gm11575" 228
"Gm11576" 417
"Gm11578" 459
"Gm38388" 1430
"Gm23762" 106
"Gm11577" 737
"Eif4a-ps4" 1218
"Cd28" 6122
"Gm11579" 845
"2310016D23Rik" 388
"Gm37198" 2110
"Gm11609" 793
"Gm11581" 763
"Gm38137" 1401
"Ctla4" 2330
"Rpl18-ps1" 525
"Gm11582" 236
"Icos" 3430
"Gm37039" 2485
"Rpl17-ps1" 552
"Gm11590" 1455
"Gm11591" 702
"Gm28083" 538
"Gm11587" 1120
"9530026F06Rik" 892
"Gm11588" 658
"Gm25839" 103
"Gm28449" 506
"Gm36943" 282
"Gm28094" 390
"4930587A21Rik" 851
"Pard3b" 13153
"Gm37205" 2736
"Gm38012" 3029
"Gm38278" 1365
"Pard3bos1" 1984
"Gm38075" 920
"Gm29640" 278
"Gm29641" 259
"Pard3bos2" 770
"Gm38351" 2518
"Pard3bos3" 862
"Gm29084" 1452
"Gm11600" 240
"Gm11599" 878
"Nrp2" 11842
"Gm29083" 733
"Gm37121" 2556
"Gm4208" 871
"Ino80d" 17713
"Gm44468" 105
"Gm24942" 114
"Rps13-ps7" 368
"Rps27-ps1" 246
"Ino80dos" 2880
"Gm20342" 9720
"Ndufs1" 8086
"Gm24557" 89
"Eef1b2" 2532
"Gm27390" 176
"Gm26457" 78
"Snora41" 132
"Gpr1" 2496
"Gm27512" 126
"Platr12" 911
"1700039I01Rik" 479
"Gm11608" 882
"Gm24513" 138
"Zdbf2" 12659
"Gm23448" 104
"Gm11606" 617
"Gm11605" 646
"Adam23" 17907
"Gm22281" 103
"FAM237A" 1105
"Dytn" 6143
"Gm12748" 504
"Mdh1b" 1719
"Fastkd2" 5873
"4933402D24Rik" 1758
"Gm13751" 752
"Gm13754" 998
"Gm13749" 1432
"Klf7" 8131
"Gm26649" 3196
"Mir6899" 64
"Gm13748" 378
"Gm13750" 465
"Gm28981" 1288
"Gm25748" 70
"Gm28980" 219
"Creb1" 13742
"Mettl21a" 3005
"Gm28982" 512
"Gm29152" 325
"2810408I11Rik" 2341
"Ccnyl1" 3456
"Fzd5" 6915
"Gm38058" 4368
"Plekhm3" 10921
"Rpl31-ps24" 379
"Rpl10a-ps1" 654
"Gm24788" 156
"Akr1cl" 4209
"Gm8550" 653
"Cryge" 723
"Crygd" 1028
"Crygc" 786
"Crygb" 634
"Gm7329" 210
"Cryga" 730
"Gm28845" 733
"D630023F18Rik" 2667
"Idh1" 2771
"Pikfyve" 19211
"Pth2r" 2582
"Gm28927" 272
"Gm28926" 680
"Gm28925" 168
"Gm28923" 322
"Gm28922" 308
"Gm28728" 405
"Gm5255" 642
"Gm8805" 313
"Crygf" 627
"Gm8809" 743
"Gm15659" 341
"Gm8812" 412
"Map2" 16449
"Gm24729" 137
"Gm10558" 1661
"Gm25411" 151
"Unc80" 14425
"Gm37181" 1727
"Rpe" 3113
"Kansl1l" 6664
"Gm37570" 3106
"Gm38387" 2577
"Gm38162" 4597
"Gm15789" 1359
"6820402A03Rik" 2654
"Gm37285" 1139
"Gm37755" 2179
"Gm38218" 4689
"Acadl" 2005
"Gm15793" 495
"Gm27934" 63
"Gm25832" 130
"Myl1" 2074
"Rpl31-ps14" 378
"Gm15826" 1384
"Lancl1" 6863
"Cps1" 5555
"Gm15668" 678
"Gm26342" 129
"Kif22-ps" 1984
"Gm22548" 78
"Gm15669" 526
"Gm37957" 2303
"Gm23189" 102
"Gm15671" 576
"Erbb4" 12355
"Gm37100" 1353
"Gm15670" 447
"Gm25542" 94
"Gm19335" 2069
"Gm37735" 1406
"Gm37769" 2369
"Gm37061" 3243
"Gm16076" 480
"Gm8840" 386
"Pced1c-ps" 751
"Gm28497" 3029
"Gm29113" 3432
"Gm29114" 2508
"Ikzf2" 11613
"Gm29112" 3487
"Gm28112" 1875
"Gm37930" 1886
"Spag16" 6764
"Gm22665" 275
"Gm23879" 126
"Gm28580" 88
"Gm38272" 2400
"Gm37456" 5837
"Gm23422" 107
"Vwc2l" 7689
"Bard1" 5659
"Gm16236" 379
"Gm8870" 775
"Abca12" 14808
"Gm6947" 78
"Atic" 7985
"Fn1" 11685
"Apol7d" 2091
"Gm5829" 351
"Gm5256" 877
"Gm37217" 3521
"Gm8883" 1541
"Gm28818" 3067
"4933417E11Rik" 1093
"4930556G22Rik" 741
"Gm5528" 480
"Gm8885" 598
"Gm4319" 2048
"Mreg" 2284
"Gm25360" 191
"D230017M19Rik" 5335
"Gm23472" 191
"Gm24497" 191
"Gm25939" 191
"Pecr" 1516
"Tmem169" 3054
"Xrcc5" 2555
"March4" 4553
"Gm15843" 529
"Smarcal1" 5728
"Gm39662" 1282
"Ankar" 4588
"Gm18035" 589
"Gm45859" 214
"Rpl37a" 1410
"Igfbp2" 1847
"Igfbp5" 6006
"1700027A15Rik" 1396
"Tnp1" 437
"Gm38106" 2534
"Gm29185" 516
"Gm29184" 334
"Pinc" 2587
"Gm27315" 154
"D530049I02Rik" 562
"Gm9553" 996
"C530043A13Rik" 3970
"Gm29186" 660
"6030407O03Rik" 2442
"Gm29183" 790
"Gm25329" 126
"Mir6351" 99
"Tns1" 16010
"Rufy4" 2329
"Cxcr2" 3048
"Cxcr1" 1491
"Mir1928" 67
"Gm25524" 107
"Arpc2" 2033
"Gpbar1" 1075
"Aamp" 3458
"Gm28364" 334
"Pnkd" 7832
"Gm37503" 319
"Tmbim1" 12659
"Gm29358" 3265
"Gm37931" 2866
"Catip" 2211
"Slc11a1" 3705
"Ctdsp1" 3334
"Mir26b" 85
"Vil1" 3551
"Usp37" 11081
"Gm37733" 2962
"Cnot9" 3826
"Plcd4" 7045
"Zfp142" 11355
"Gm25035" 77
"Bcs1l" 2192
"Rnf25" 2181
"Stk36" 6437
"Ttll4" 11527
"Cyp27a1" 2173
"Prkag3" 3682
"Gm27507" 93
"Wnt6" 2192
"Gm29539" 758
"Wnt10a" 2468
"Gm16582" 1930
"Cdk5r2" 2799
"Fev" 1617
"Cryba2" 1193
"Mir375" 64
"Cfap65" 7817
"Gm15841" 517
"Ihh" 3048
"Gm37744" 1590
"Nhej1" 1118
"Slc23a3" 2167
"Cnppd1" 5635
"Retreg2" 2999
"Zfand2b" 1772
"Abcb6" 5315
"Gm29253" 5231
"Atg9a" 5762
"Ankzf1" 5142
"Glb1l" 5905
"Gm27943" 116
"Stk16" 4518
"Tuba4a" 3701
"A630095N17Rik" 1123
"Dnajb2" 4249
"Ptprn" 4249
"Gm28294" 386
"Resp18" 1032
"Gm28902" 215
"Dnpep" 4289
"Des" 3754
"Gm15179" 867
"Speg" 12741
"Gm15178" 472
"Gmppa" 2395
"Asic4" 2727
"Gm37264" 2192
"Chpf" 3856
"Obsl1" 8467
"Tmem198" 2504
"Inha" 1475
"Gm15181" 177
"Stk11ip" 5743
"Gm15183" 348
"Slc4a3" 8599
"Gm15180" 492
"Gm15182" 1676
"Gm5257" 790
"Gm29065" 487
"Gm29068" 400
"Gm29069" 675
"Gm17751" 2188
"Mir6343" 84
"Gm816" 2456
"Gm38265" 3766
"Gm25974" 94
"Epha4" 8054
"Mir6352" 116
"Gm28386" 1849
"Gm28385" 292
"Gm26263" 164
"Gm28387" 854
"Pax3" 6187
"Sgpp2" 4002
"Gm28410" 1450
"Gm37884" 818
"Farsb" 2620
"Gm28995" 261
"4833412K13Rik" 1479
"BC035947" 3310
"Mogat1" 1558
"5730419F03Rik" 2092
