Geneid	E4-1	E4-2	LN-D4-1	LN-D4-2	LN-F6-1	LN-F6-2	LN-N4-1	LN-N4-2	LN-N4-3	N1	N2	N3	T-D4-1	T-D4-2	T-D4-3	T-F6-2	T-F6-3	T-N4-1	T-N4-2
Mrpl15	5404	4911	5047	4597	4062	3683	3747	5110	5228	3553	3284	3474	3824	3874	3608	3343	4865	3421	3861
Gm37144	8	2	2	12	3	1	1	1	6	1	4	2	1	5	13	2	4	2	3
Lypla1	6833	9234	8976	7039	8293	8573	7988	8755	9406	5975	5965	6127	9948	10629	9032	9074	10084	8559	10102
Gm37988	1	8	5	2	3	1	7	1	3	4	4	3	2	1	5	0	2	2	8
Tcea1	2351	3184	3476	2538	2646	2631	2725	3420	3376	2734	2745	2713	4093	4235	3917	3233	4102	3748	3739
Gm6104	52	54	90	90	24	17	13	36	29	4	6	4	10	9	6	21	19	8	12
Gm37277	0	0	0	0	0	2	0	0	0	0	2	0	5	2	12	4	0	4	10
Rgs20	0	0	0	0	0	0	0	2	0	0	0	0	2	0	1	11	1	9	4
Gm17100	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	4514	7892	7145	5644	7219	6841	7494	7321	6693	6378	6856	6893	6909	6944	6940	5927	7177	6162	6520
Gm7182	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
Gm37567	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Gm38264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Rb1cc1	4114	2154	2943	2101	4232	2786	4010	3817	3369	7412	7849	6419	1047	853	2017	429	775	682	498
4732440D04Rik	190	123	140	138	188	187	168	187	161	477	480	383	299	233	726	216	224	226	243
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2147	5	2	0	1	0	5	2	1	3	1	3	3	2	0	0	0	0	0	1
Gm7417	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm19026	17	2	1	13	2	3	0	1	0	7	3	4	0	0	0	0	0	0	0
St18	0	0	2	0	0	0	0	0	0	1	20	0	0	0	0	0	15	0	0
Gm42492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7449	1	1	2	2	1	0	1	1	1	3	1	1	0	1	0	1	0	0	0
Gm37108	8	6	5	10	6	4	7	6	5	4	4	3	6	1	2	11	5	3	5
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	943	1359	1510	904	2340	2462	2374	2107	2130	4815	4010	4619	1467	1405	2147	1190	1524	1635	1469
Gm26983	3	1	3	2	6	2	2	1	2	0	3	2	3	2	6	6	1	3	3
Gm38372	24	0	0	0	4	0	11	5	0	0	11	12	8	3	17	0	12	3	5
Gm9826	5	12	11	7	3	5	5	4	6	3	6	3	1	1	1	4	3	2	3
Nras-ps2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	41	12	20	47	5	8	14	22	36	14	7	12	16	3	13	31	10	7	15
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm30414	0	0	9	1	0	1	0	2	0	0	0	0	6	0	2	0	0	1	0
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	4	1	1	2	0	0	1	0	1	2	0	2	0	2	0	1	1	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm16284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	31	28	22	32	18	9	6	20	14	1	1	1	6	10	0	5	8	2	3
Gm36964	5	5	3	9	6	6	6	8	4	3	3	6	8	4	4	6	4	3	4
Gm24276	5	1	6	6	6	0	5	4	1	5	2	4	3	1	3	2	3	2	3
Gm6152	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7493	0	2	0	2	1	0	1	4	2	0	1	2	0	0	0	2	1	0	0
Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512	2	0	0	0	1	0	1	1	1	3	3	0	0	0	0	1	1	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	2891	3057	3030	2126	2131	2381	2266	3202	2848	2670	3107	2775	179	141	172	110	225	161	123
Adhfe1	34	13	16	6	17	2	6	8	0	0	6	4	21	6	8	17	6	8	30
2610203C22Rik	15	0	1	0	1	0	4	0	1	1	13	0	0	3	0	0	31	26	15
Gm6161	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3110035E14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	143	43	47	23	24	9	12	37	6	10	5	0	19	6	46	19	5	12	39
Vcpip1	3800	2611	2573	1675	3686	4240	3580	3959	2616	4432	4871	4678	3161	3033	4076	1248	2772	3535	3299
1700034P13Rik	7	4	5	14	13	8	7	14	10	12	12	10	5	7	12	4	4	4	1
Sgk3	861	1565	1284	774	1201	1258	1202	1151	1255	5215	4554	5484	655	712	542	573	1901	1243	1459
Gm6195	11	7	14	11	5	6	7	6	12	3	7	6	1	2	1	3	4	5	5
Gm22607	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Mcmdc2	43	0	6	4	0	2	0	4	0	1	0	0	0	3	3	7	9	1	2
Snhg6	1025	412	395	545	267	248	265	318	494	312	288	342	364	367	399	536	486	289	326
Snord87	22	2	5	2	5	2	1	2	5	2	4	2	4	2	4	4	1	4	1
Tcf24	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0
E330040D14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r42	0	1	0	17	4	0	0	0	0	0	0	0	0	3	3	10	0	0	0
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	4742	5084	5532	5445	3242	2928	3102	4319	4607	2371	2486	2509	4092	4393	3848	6672	5495	3369	4569
Cspp1	1998	708	744	245	740	630	933	791	534	1233	1058	829	664	890	1096	497	846	838	758
1700047N06Rik	0	0	1	0	3	2	2	4	0	5	0	4	0	0	0	0	5	0	2
Arfgef1	4547	3027	3414	2043	4583	4352	4362	4600	4142	5520	5916	5060	1293	1430	2661	1119	1638	1624	1512
Gm26348	5	1	2	0	0	0	0	0	1	5	4	3	0	0	12	2	4	0	2
Gm37569	34	10	4	0	10	8	6	10	3	9	6	1	0	0	8	9	3	0	0
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	7
Gm38005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	6	9	4	4	10	7	7	5	3	3	1	2	2	1	3	3	4	2	3
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659	4	3	2	9	1	1	0	1	8	4	3	1	2	1	3	0	5	0	1
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	2	0	1	1	1	1	2	1	1	0	0	10	3	4	1	2	0	6	3
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	4	2	4	4	3	2	3	1	2	0	0	0	0	2	0	4	3	3	1
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
Gm38178	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm7560	3	5	5	2	3	2	2	2	4	2	3	0	2	0	1	6	2	0	1
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	29	37	25	23	12	14	16	21	10	6	9	2	13	13	21	29	19	12	17
Gm6216	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0	10	28	17	1	9	28	9	12	0	0	1	0	0	0	0	0	0	1
Slco5a1	0	0	6	1	13	0	0	6	0	0	10	0	0	0	21	0	1	13	0
Gm37162	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	1	0	5	0	0	2	0	0	0	0	0	0	0	1	1
Ncoa2	1861	2502	2721	2414	2624	3191	2659	2964	2766	3524	4159	3950	6872	5705	7061	3559	5150	5780	6360
Gm38376	64	11	17	16	35	20	24	31	32	39	34	47	30	12	129	34	18	40	34
Gm37409	59	0	8	17	4	11	7	14	5	40	3	0	4	10	68	21	3	4	15
Gm27881	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0
Gm38223	0	0	0	4	0	1	1	0	2	3	5	0	0	1	2	0	3	3	1
Gm37702	0	0	0	6	5	7	4	1	0	0	1	0	16	11	47	18	2	9	15
Gm23169	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38120	47	10	10	24	26	19	1	20	2	3	39	7	50	62	160	69	35	44	35
Gm38380	136	21	47	66	47	19	60	49	28	144	46	21	50	27	240	89	90	107	53
Gm29570	0	1	0	6	0	0	3	2	0	1	0	2	0	3	0	0	0	0	0
Gm7593	1	0	1	0	2	0	0	1	2	1	2	1	0	1	0	1	0	0	1
Tram1	16059	35026	36957	27866	38204	37988	39869	34839	36444	30715	31364	32797	22782	22525	20002	5804	16531	20966	20337
Lactb2	1399	1472	1140	723	1011	1042	1025	1214	1297	931	827	968	1796	1319	1999	1824	2253	1610	1744
Gm38319	47	28	11	15	32	15	10	19	13	45	25	23	38	18	151	60	59	80	33
Xkr9	0	0	0	0	0	1	0	4	0	9	0	0	0	1	0	0	0	0	0
Gm26273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	60	51	47	40	21	18	17	40	40	11	14	11	36	32	18	63	43	24	36
Gm36947	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Gm25491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eya1	0	4	0	29	3	28	0	0	0	0	3	3	0	0	20	0	22	1	7
Gm22616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm9947	2	2	0	0	1	0	0	0	0	0	0	0	5	0	3	0	3	2	4
Msc	60	80	2	4	13	6	6	3	0	0	3	4	26	26	51	0	32	55	15
Gm37412	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
Smt3h2-ps4	4	2	3	1	1	2	1	2	0	2	2	1	0	0	1	2	2	3	2
Rpl5-ps1	55	24	21	39	19	22	21	17	29	35	26	16	13	11	19	16	18	8	11
Trpa1	0	0	6	0	8	10	26	84	130	0	0	14	52	0	69	0	284	0	86
Gm26345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10566	16	21	11	5	6	6	8	5	10	4	3	6	11	11	8	18	16	13	12
Kcnb2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Gm38116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37138	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Gm25227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6060	3	3	1	2	0	1	1	3	3	3	2	1	0	2	1	0	1	2	0
Gm28669	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Terf1	3365	2160	2509	2124	2342	1907	2212	2403	2195	2255	2271	2163	2129	2055	3582	2122	1886	2049	2142
Gm37509	1	0	0	1	0	2	1	0	0	12	0	0	10	0	0	0	0	0	0
Sbspon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	5	2	5	1	2	0	0	2	0	3	0	0	3	3	3	11	7	4	3
4930444P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Rpl7	22364	18238	20474	23189	14688	12599	15901	18318	20689	17073	16853	16642	23377	23128	23121	36751	27534	17250	20216
Rdh10	264	259	359	170	262	311	220	239	240	174	393	166	85	98	174	49	74	34	50
Gm38249	0	0	0	0	0	1	1	0	0	0	0	0	0	1	2	0	0	0	2
Gm28095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Stau2	161	35	28	24	6	15	7	25	20	1	18	3	101	9	21	93	156	30	131
Gm7568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Ube2w	715	963	1284	982	1527	1485	1883	1548	1729	2486	2211	2317	2448	2466	2213	2273	3522	2405	3154
Gm38342	20	3	5	3	9	8	3	5	6	7	12	6	0	0	1	2	0	1	3
Eloc	6840	5601	6719	6363	4123	3466	4035	5150	5555	3415	3390	3394	5019	4773	4236	4884	6337	3807	5242
D030040B21Rik	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tmem70	2792	3660	4319	2880	3645	3237	3320	3965	3968	2965	2966	2911	1315	985	1158	283	1342	991	1069
Ly96	171	156	347	413	319	264	214	242	201	82	92	68	227	186	192	156	365	178	182
Gm29649	0	1	0	1	0	2	0	2	0	1	0	0	0	0	0	0	1	0	0
Gm5828	8	14	12	10	8	12	15	13	16	17	15	16	17	5	6	7	7	5	6
Gm28376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4921511E07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Jph1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0
Gm28783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gdap1	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0
Gm28784	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0
Gm28785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5251	2	1	1	1	2	1	0	2	3	4	0	0	0	1	1	0	0	0	1
Rbm6-ps1	13	17	22	9	19	20	19	20	10	20	26	18	12	11	10	6	6	11	7
Gm6075	12	11	18	15	15	7	11	12	13	11	11	12	5	7	7	7	3	1	7
Gm25166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28154	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm16070	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Crispld1	0	0	0	11	0	0	0	0	0	15	58	0	0	0	0	0	0	0	1
Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7690	0	1	3	1	1	3	7	1	1	3	4	4	0	2	2	1	0	2	1
Gm18775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm45784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17837	9	3	6	4	1	1	2	7	6	3	4	2	1	1	3	3	3	5	2
Gm5252	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Gm24075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm10075	18	19	13	10	12	9	7	18	4	1	6	4	3	3	4	9	4	1	3
Tfap2b	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0
Gm28340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28341	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Gm4849	13	16	11	8	13	15	11	22	9	12	19	13	5	3	4	7	6	8	5
Gm24633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Gm37315	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
4930486I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15795	0	0	0	1	0	0	0	1	1	2	1	0	0	0	1	1	0	0	1
Gm24162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Il17a	0	0	0	0	3	7	9	3	0	0	0	0	20	17	1	0	4	0	0
Il17f	0	3	9	16	404	525	123	20	18	0	1	0	59	106	20	0	93	1	0
Mcm3	17072	28547	25437	19506	15203	10873	7875	20364	12405	4364	4691	4303	5914	4680	3721	20464	11929	8621	13144
Gm20587	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0
Gm28065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Gm24723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6720483E21Rik	0	0	2	4	2	0	0	6	0	0	0	0	0	1	4	0	0	0	0
Paqr8	97	236	201	169	508	559	600	352	248	354	291	463	324	392	436	256	296	312	326
Gm24171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28064	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Efhc1	0	0	1	4	2	3	9	8	14	0	0	8	2	30	3	11	8	3	8
Tram2	157	294	358	163	389	395	237	364	205	241	223	263	257	215	224	152	277	333	373
Gm28287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2693	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Tmem14a	44	50	110	124	123	98	99	129	111	99	72	75	78	52	103	278	159	74	150
Gm38224	2	1	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	1	2
Gsta3	0	0	2	16	2	4	3	13	0	15	6	6	0	1	0	0	8	0	13
Gm28836	0	1	0	2	0	4	0	6	0	0	1	0	0	0	0	1	8	0	1
Gm7094	0	1	0	0	0	1	0	1	0	0	0	0	1	1	1	1	1	0	1
Gm4956	0	0	2	7	29	43	24	150	93	0	50	4	18	16	34	81	59	0	6
Gm21909	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
Khdc1a	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	0	1	10
Gm16329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16328	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
Kcnq5	129	79	178	94	144	180	188	320	263	46	13	26	191	123	203	343	466	53	163
Gm36949	28	0	2	9	1	2	3	4	10	0	0	0	2	4	45	21	0	1	3
Gm7658	142	173	151	164	125	114	140	163	167	108	135	112	61	69	57	51	74	41	35
Gm38243	17	0	7	1	4	1	0	4	3	0	0	0	10	4	39	16	14	1	1
Gm26580	338	42	48	78	66	46	39	77	44	16	2	8	97	19	198	93	83	18	46
Gm5696	1	1	1	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0
Gm28239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rims1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
Gm26866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
